movieId,title,genres,sinopsis
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
2,Jumanji (1995),Adventure|Children|Fantasy,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game."
3,Grumpier Old Men (1995),Comedy|Romance,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention."
4,Waiting to Exhale (1995),Comedy|Drama|Romance,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men."
5,Father of the Bride Part II (1995),Comedy,"George Banks must deal not only with his daughter's pregnancy, but also with his wife's."
6,Heat (1995),Action|Crime|Thriller,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
7,Sabrina (1995),Comedy|Romance,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
8,Tom and Huck (1995),Adventure|Children,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.
9,Sudden Death (1995),Action,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.
10,GoldenEye (1995),Action|Adventure|Thriller,"Years after a friend and fellow 00 agent is killed on a joint mission, a Russian crime syndicate steals a secret space-based weapons program known as ""GoldenEye"" and James Bond has to stop them from using it."
11,"American President, The (1995)",Comedy|Drama|Romance,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway."
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Mel Brooks ' parody of the classic vampire story and its famous film adaptations.
13,Balto (1995),Adventure|Animation|Children,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska."
14,Nixon (1995),Drama,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame."
15,Cutthroat Island (1995),Action|Adventure|Romance,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.
16,Casino (1995),Crime|Drama,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
17,Sense and Sensibility (1995),Drama|Romance,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
18,Four Rooms (1995),Comedy,Four interlocking tales that take place in a fading hotel on New Year's Eve.
19,Ace Ventura: When Nature Calls (1995),Comedy,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa."
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him."
21,Get Shorty (1995),Comedy|Crime|Thriller,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job."
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
23,Assassins (1995),Action|Crime|Thriller,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.
24,Powder (1995),Drama|Sci-Fi,An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.
25,Leaving Las Vegas (1995),Drama|Romance,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
26,Othello (1995),Drama,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago."
27,Now and Then (1995),Children|Drama,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.
28,Persuasion (1995),Drama|Romance,"Eight years ago, Anne Elliot rejected Frederick Wentworth, the man she loved, out of a sense of duty and obedience. Now an ignored and faded spinster, she follows her financially stricken family from their home, only to be reintroduced to the now successful and wealthy Captain Frederick Wentworth. With their roles reversed and Captain Wentworth the eligible and wealth... Read all"
